Epoch,Train Loss,Validation Loss,EpochsNoImprove,LearningRate,Checkpoint Path
1,0.6173657905578613,0.38675654244422913,0,0.0005729999999999999,model_conv3/checkpoint_epoch_1_conv3.pth
2,0.4431207354545593,0.3852672019004822,0,0.0005472149999999999,model_conv3/checkpoint_epoch_2_conv3.pth
3,0.3083773731708527,0.1949336086511612,0,0.0005225903249999999,model_conv3/checkpoint_epoch_3_conv3.pth
4,0.1362493887424469,0.11372601932287216,0,0.0004990737603749999,model_conv3/checkpoint_epoch_4_conv3.pth
5,0.11427200443744659,0.1130669219493866,0,0.00047661544115812485,model_conv3/checkpoint_epoch_5_conv3.pth
6,0.11140629411935807,0.09734358340501785,0,0.0004551677463060092,model_conv3/checkpoint_epoch_6_conv3.pth
8,0.11364309080839156,0.08728291213512421,0,0.00041512436382473803,model_conv3/checkpoint_epoch_8_conv3.pth
10,0.11076723325252533,0.09155725580453873,2,0.00037860379791725666,model_conv3/checkpoint_epoch_10_conv3.pth
12,0.11295385525226594,0.08694389033317566,0,0.000345296128795486,model_conv3/checkpoint_epoch_12_conv3.pth
14,0.10935936785936355,0.07884812760353088,0,0.0003149187018647031,model_conv3/checkpoint_epoch_14_conv3.pth
15,0.1111744656443596,0.07516788464784623,0,0.00030074736028079145,model_conv3/checkpoint_epoch_15_conv3.pth
18,0.10443227418661118,0.0700026353597641,0,0.0002619461012533848,model_conv3/checkpoint_epoch_18_conv3.pth
20,0.10716341025829315,0.08345464980602264,2,0.00023890139299561825,model_conv3/checkpoint_epoch_20_conv3.pth
25,0.090452616473039,0.06845700681209564,0,0.0001897734880264953,model_conv3/checkpoint_epoch_25_conv3.pth
26,0.08855564840634664,0.06450922181208929,0,0.000181233681065303,model_conv3/checkpoint_epoch_26_conv3.pth
30,0.09152142210801442,0.06515041281779607,4,0.00015074829119310698,model_conv3/checkpoint_epoch_30_conv3.pth
31,0.08984129313627878,0.06281188736359278,0,0.00014396461808941717,model_conv3/checkpoint_epoch_31_conv3.pth
33,0.09086999801794687,0.060562753776709236,0,0.00013129933081300067,model_conv3/checkpoint_epoch_33_conv3.pth
35,0.08716144992907841,0.07442703366279602,2,0.00011974827218472691,model_conv3/checkpoint_epoch_35_conv3.pth
37,0.08502371269464493,0.06035411139329275,0,0.00010921341793927555,model_conv3/checkpoint_epoch_37_conv3.pth
40,0.08440802850325903,0.0631455264488856,3,9.512312595874473e-05,model_conv3/checkpoint_epoch_40_conv3.pth
41,0.08852819443600518,0.05955809107848576,0,9.08425852906012e-05,model_conv3/checkpoint_epoch_41_conv3.pth
45,0.08598303735256195,0.06899344503879547,4,7.556191773861166e-05,model_conv3/checkpoint_epoch_45_conv3.pth
50,0.08411149396215166,0.06685100340417453,9,6.002329459623723e-05,model_conv3/checkpoint_epoch_50_conv3.pth
51,0.08696040663548878,0.058497542185442786,0,5.7322246339406546e-05,model_conv3/checkpoint_epoch_51_conv3.pth
55,0.08686978439773832,0.057385169693401884,0,4.768004838958283e-05,model_conv3/checkpoint_epoch_55_conv3.pth
60,0.08483756683553968,0.06455482538257326,5,3.787507882940294e-05,model_conv3/checkpoint_epoch_60_conv3.pth
63,0.08389070414645332,0.054432432268347056,0,3.298858292476383e-05,model_conv3/checkpoint_epoch_63_conv3.pth
65,0.08418617128474372,0.06454242178371974,2,3.0086412341957728e-05,model_conv3/checkpoint_epoch_65_conv3.pth
70,0.08450929805210658,0.07486954224961144,7,2.389941448537906e-05,model_conv3/checkpoint_epoch_70_conv3.pth
75,0.08747928005456924,0.0644636752137116,12,1.8984716630616366e-05,model_conv3/checkpoint_epoch_75_conv3.pth
80,0.08339863923617771,0.0662217731986727,17,1.5080681820272016e-05,model_conv3/checkpoint_epoch_80_conv3.pth
85,0.08554025550186634,0.06046553358435631,22,1.19794763645571e-05,model_conv3/checkpoint_epoch_85_conv3.pth
89,0.08379192954301834,0.06287339702248573,26,9.964403860971576e-06,model_conv3/checkpoint_epoch_89_conv3.pth
90,0.0874346209499571,0.05907463729381561,27,9.516005687227854e-06,model_conv3/checkpoint_epoch_90_conv3.pth
94,0.08504685616493225,0.06656802323129442,31,7.915314570124484e-06,model_conv3/checkpoint_epoch_94_conv3.pth
