Epoch,Train Loss,Validation Loss,EpochsNoImprove,LearningRate,Checkpoint Path
1,0.5824931900978089,0.5388002219200134,0,0.0005729999999999999,model_conv5_heavy/checkpoint_epoch_1_conv5_heavy.pth
2,0.4074667411804199,0.38233607482910154,0,0.0005472149999999999,model_conv5_heavy/checkpoint_epoch_2_conv5_heavy.pth
3,0.34063891286849973,0.2907178684473038,0,0.0005225903249999999,model_conv5_heavy/checkpoint_epoch_3_conv5_heavy.pth
4,0.21254556450843812,0.200618434548378,0,0.0004990737603749999,model_conv5_heavy/checkpoint_epoch_4_conv5_heavy.pth
5,0.170896022939682,0.1845919373035431,0,0.00047661544115812485,model_conv5_heavy/checkpoint_epoch_5_conv5_heavy.pth
8,0.16560627012252807,0.16441510570049286,0,0.00041512436382473803,model_conv5_heavy/checkpoint_epoch_8_conv5_heavy.pth
9,0.16604390995502472,0.1494230613708496,0,0.0003964437674526248,model_conv5_heavy/checkpoint_epoch_9_conv5_heavy.pth
10,0.16537577345371246,0.18445245695114135,1,0.00037860379791725666,model_conv5_heavy/checkpoint_epoch_10_conv5_heavy.pth
11,0.1538967580318451,0.13408445584774017,0,0.0003615666270109801,model_conv5_heavy/checkpoint_epoch_11_conv5_heavy.pth
12,0.14515020842552184,0.11500213539600372,0,0.000345296128795486,model_conv5_heavy/checkpoint_epoch_12_conv5_heavy.pth
15,0.15030806188583373,0.1236105608344078,3,0.00030074736028079145,model_conv5_heavy/checkpoint_epoch_15_conv5_heavy.pth
16,0.14464893848896027,0.11279001742601395,0,0.0002872137290681558,model_conv5_heavy/checkpoint_epoch_16_conv5_heavy.pth
20,0.15019025497436522,0.12811636829376222,4,0.00023890139299561825,model_conv5_heavy/checkpoint_epoch_20_conv5_heavy.pth
25,0.13258514086405437,0.10770964503288269,0,0.0001897734880264953,model_conv5_heavy/checkpoint_epoch_25_conv5_heavy.pth
30,0.13156256985664366,0.12293216993411382,5,0.00015074829119310698,model_conv5_heavy/checkpoint_epoch_30_conv5_heavy.pth
34,0.12802684692541758,0.10661755035320918,0,0.00012539086092641562,model_conv5_heavy/checkpoint_epoch_34_conv5_heavy.pth
35,0.12792925828695298,0.11807053744792938,1,0.00011974827218472691,model_conv5_heavy/checkpoint_epoch_35_conv5_heavy.pth
38,0.12767121227582295,0.10571418434381485,0,0.00010429881413200814,model_conv5_heavy/checkpoint_epoch_38_conv5_heavy.pth
40,0.12827548478047052,0.10754285593827566,2,9.512312595874473e-05,model_conv5_heavy/checkpoint_epoch_40_conv5_heavy.pth
42,0.1306596954039165,0.10490065710885184,0,8.675466895252414e-05,model_conv5_heavy/checkpoint_epoch_42_conv5_heavy.pth
45,0.1303121873480933,0.1187571222441537,3,7.556191773861166e-05,model_conv5_heavy/checkpoint_epoch_45_conv5_heavy.pth
48,0.13227939188480378,0.09896501089845385,0,6.581321191440721e-05,model_conv5_heavy/checkpoint_epoch_48_conv5_heavy.pth
50,0.13027462659563338,0.10961865471942084,2,6.002329459623723e-05,model_conv5_heavy/checkpoint_epoch_50_conv5_heavy.pth
55,0.12976286981787,0.10643973367554802,7,4.768004838958283e-05,model_conv5_heavy/checkpoint_epoch_55_conv5_heavy.pth
60,0.13231785866192408,0.10717807918787002,12,3.787507882940294e-05,model_conv5_heavy/checkpoint_epoch_60_conv5_heavy.pth
65,0.12762456896305086,0.10840986210107803,17,3.0086412341957728e-05,model_conv5_heavy/checkpoint_epoch_65_conv5_heavy.pth
69,0.12771518875360488,0.10496705430746078,21,2.5025564906156085e-05,model_conv5_heavy/checkpoint_epoch_69_conv5_heavy.pth
